config,workload,concurrency,repeat,n,p50_ms,p95_ms,p99_ms,avg_ms,req_per_sec,ok,err,cpu_pct,url
cg_static_sqli,token,50,5,10000,4.3,6.1000000000000005,10.9,17.2,1659.5928,10000,0,120.0,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_xss,plain,1,1,10000,1.0,1.3,2.4,1.0,963.3613,10000,0,68.1,http://localhost/customapp/product?id=1
cg_adaptive_xss,plain,1,2,10000,1.0,1.3,2.0,1.0,959.4789,10000,0,67.4,http://localhost/customapp/product?id=1
cg_adaptive_xss,plain,1,3,10000,1.0,1.2,1.5,1.0,993.9194,10000,0,68.6,http://localhost/customapp/product?id=1
cg_adaptive_xss,plain,1,4,10000,1.0,1.3,2.4,1.0,959.0174,10000,0,68.2,http://localhost/customapp/product?id=1
cg_adaptive_xss,plain,1,5,10000,1.0,1.3,2.6,1.0,952.4172,10000,0,67.2,http://localhost/customapp/product?id=1
cg_adaptive_xss,plain,10,1,10000,4.3,6.2,7.4,5.1000000000000005,1669.4028,10000,0,121.9,http://localhost/customapp/product?id=1
cg_adaptive_xss,plain,10,2,10000,3.4,5.6,6.8,4.7,1856.8191,10000,0,128.6,http://localhost/customapp/product?id=1
cg_adaptive_xss,plain,10,3,10000,3.7,6.0,7.4,4.8999999999999995,1746.2429,10000,0,125.5,http://localhost/customapp/product?id=1
cg_adaptive_xss,plain,10,4,10000,3.7,5.7,6.8,4.8999999999999995,1792.7052,10000,0,124.5,http://localhost/customapp/product?id=1
cg_adaptive_xss,plain,10,5,10000,3.9,6.4,7.9,5.1000000000000005,1780.3525,10000,0,125.5,http://localhost/customapp/product?id=1
cg_adaptive_xss,plain,50,1,10000,4.4,6.4,1019.0999999999999,22.0,1673.8582,10000,0,119.7,http://localhost/customapp/product?id=1
cg_adaptive_xss,plain,50,2,10000,4.0,6.5,732.4000000000001,19.400000000000002,1655.9486,10000,0,115.3,http://localhost/customapp/product?id=1
cg_adaptive_xss,plain,50,3,10000,3.8,6.3,429.59999999999997,19.7,1707.3804,10000,0,120.6,http://localhost/customapp/product?id=1
cg_adaptive_xss,plain,50,4,10000,3.9,6.5,420.70000000000005,19.599999999999998,1479.1062,10000,0,105.8,http://localhost/customapp/product?id=1
cg_adaptive_xss,plain,50,5,10000,3.9,6.4,502.8,18.700000000000003,1484.9923,10000,0,103.9,http://localhost/customapp/product?id=1
cg_adaptive_xss,token,1,1,10000,1.0,1.3,2.4,1.1,921.4336,10000,0,68.8,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_xss,token,1,2,10000,1.0,1.3,2.3,1.1,932.7919,10000,0,69.6,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_xss,token,1,3,10000,1.0,1.5,2.5,1.1,894.1922,10000,0,68.7,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_xss,token,1,4,10000,1.0,1.3,2.6,1.1,923.7825,10000,0,68.6,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_xss,token,1,5,10000,1.0,1.6,2.9,1.1,873.1515,10000,0,68.5,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_xss,token,10,1,10000,4.4,7.1000000000000005,8.8,5.7,1615.9445,10000,0,136.4,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_xss,token,10,2,10000,3.8,6.3,7.8,5.4,1574.1463,10000,0,122.0,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_xss,token,10,3,10000,3.9,6.4,8.3,5.3,1734.9579,10000,0,132.8,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
